company_names,company_reviews,Reviews,Salaries,Interviews,jobs,Benefits,photos
MSL Driveline Systems,4.2,177 ,624,3,--,14,2
iTech India,3.3,108 ,632,6,16,8,--
Nahars Engineering India,3.2,208 ,1k,15,--,6,--
Gemini Solutions,3.3,286 ,2.5k,36,--,18,--
bluCognition,3.4,110 ,518,8,5,6,--
SDNA Global,3.7,118 ,249,7,3,37,--
Mumbai Metro One,4.0,114 ,572,6,--,7,--
IVY SOFTWARE DEVELOPMENT SERVICES,3.8,127 ,622,19,--,12,16
Intech Organics,3.1,261 ,1.1k,28,12,11,8
GOURMET INVESTMENTS,3.9,108 ,287,17,5,4,--
Dmi Finance,3.6,168 ,1.1k,15,28,10,--
Omega Hospitals,4.0,129 ,538,5,5,10,--
A.P.Securitas,4.2,128 ,421,5,--,6,2
Kich Architectural Products,3.7,113 ,381,10,10,6,--
Fenesta Building Systems,4.1,567 ,1.9k,38,19,41,4
Swarna Pragati Housing Microfinance,4.1,108 ,257,2,--,5,--
PressureJet Systems Pvt. Ltd.,3.7,117 ,275,13,6,28,10
Diversey,4.1,152 ,619,4,--,18,--
Universal Cables,4.0,158 ,713,15,--,11,--
KSK Mahanadi Power Company,3.8,128 ,537,5,--,11,--
Analog Devices,3.9,114 ,1.1k,30,79,3,--
EFKON INDIA,3.8,218 ,847,13,--,14,--
Yocket,3.7,134 ,483,15,--,8,7
ERD Technologies,3.7,117 ,530,8,15,6,2
Hidoc Dr,4.8,114 ,94,33,3,1,7
Loconav,3.0,197 ,1.2k,13,--,10,--
Appventurez,3.1,114 ,682,18,--,4,4
Data Marshall,3.3,246 ,1.2k,13,11,9,--
B.C. Jindal Group of Companies,3.9,417 ,1.1k,29,--,15,--
Nova IVI Fertility,3.7,221 ,645,17,--,15,--
Vensa Infrastructure,4.2,213 ,693,18,1,13,--
ZoomRx,2.6,132 ,780,40,15,4,6
Dipty Lal Judge Mal,3.9,159 ,547,14,--,4,--
MeritTrac,3.7,136 ,525,1,--,15,--
National Oilwell Varco,4.0,140 ,549,6,5,13,--
Lenexis Foodworks,3.6,228 ,814,21,11,8,3
"Denso Haryana Private Limited, Plant 1",3.9,108 ,444,14,--,23,--
Cloudstrats Technologies,3.1,180 ,359,17,3,11,--
DMI,3.9,172 ,1.2k,19,2,6,14
Jodo,3.7,145 ,524,25,8,2,1
BUDDI.AI,3.6,163 ,533,16,1,29,16
Bharat Dynamics,4.5,287 ,685,11,--,44,--
"Sanjay Ghodawat International School, Kolhapur",3.8,224 ,433,122,9,40,--
Goel Ganga Group,3.4,173 ,654,12,5,27,--
Holisol Logistics,3.8,317 ,1.1k,15,--,31,--
BeatO,3.2,213 ,600,19,4,31,26
Maxinfra,4.1,207 ,728,16,--,13,--
Kilitch Healthcare India,4.6,115 ,427,26,--,--,--
Ferromatik Milacron,3.5,129 ,623,8,--,26,--
Innovel Energy Services,3.2,165 ,389,16,5,5,8
RKC Infrabiult Private Limited,3.6,138 ,538,15,2,4,--
Doubletree By Hilton,4.0,197 ,542,8,--,25,--
Frog CellSat,3.8,122 ,455,11,3,9,--
Rkec Project,3.8,108 ,431,6,--,10,--
Nippon Express,3.9,270 ,1.2k,11,1,20,1
Alp Consulting,3.5,207 ,1.1k,22,26,19,6
Testhouse,4.2,133 ,745,13,4,7,1
SIP Academy,4.2,109 ,324,6,12,13,--
Charak Pharma,3.6,221 ,737,12,5,24,--
Airtel Africa,2.8,218 ,1k,38,4,4,--
Fotografik Enterprises,3.6,116 ,355,5,--,8,--
Tecnics Integration Technologies,3.3,131 ,894,10,34,9,--
Buhler,3.8,406 ,1.8k,33,--,37,--
Groupe Lactalis,3.6,199 ,784,10,129,6,--
PearVisa Immigration Services,4.2,122 ,125,--,--,45,--
Xcelore,4.8,133 ,97,30,13,3,13
Psp Projects,3.9,915 ,3k,74,18,41,2
Enaltec Labs,3.0,158 ,713,14,--,21,--
Ayu Health Hospitals,3.4,149 ,673,8,1,5,--
Shabari Telecable Network,3.2,112 ,483,8,--,10,--
Polyhose,3.6,329 ,1.8k,17,39,20,6
Learning Links Foundation,4.1,216 ,790,13,16,18,--
GTPL-KCBPL,4.0,337 ,444,40,--,4,20
Inventia Healthcare,4.0,316 ,1.8k,14,6,26,--
La opala rg,3.7,117 ,447,5,--,8,--
Smile Electronics,3.6,125 ,544,4,--,8,--
Cinntra Info Tech Solutions,3.5,109 ,372,9,5,9,4
Apps Associates,3.8,189 ,1.3k,12,13,18,--
Imerys,3.7,169 ,730,9,3,19,--
Amnex Infotechnologies,3.8,281 ,1.2k,40,8,18,--
Garden Reach Shipbuilders & Engineers,4.2,172 ,474,7,--,17,--
Indian Council of Medical Research,4.2,177 ,653,6,--,5,--
Dar Al Handasah Consultants Shair And Partners,3.1,160 ,828,17,1,6,--
Munjal Kiriu Industries,3.7,298 ,843,14,--,23,--
Prominance uPVC Windows & Doors,3.7,107 ,532,9,--,3,--
Dangote Industries,4.1,133 ,323,5,--,14,--
FinThrive,3.5,502 ,1.5k,21,2,9,--
DCM Shriram Industries,4.1,338 ,1.5k,15,1,3,1
20Cube Logistics,3.7,215 ,1k,19,--,15,3
Cronus Pharma Specialities India,3.6,141 ,696,3,3,9,--
Fitelo,3.4,413 ,712,48,--,71,13
Prepca Eduserv,4.0,283 ,187,84,--,2,6
Mahindra Aerospace,3.9,133 ,660,5,--,8,--
Della Group,3.6,133 ,311,13,29,3,1
Ajax Engineering,4.0,206 ,1.1k,7,5,12,--
Fermenta Biotech,4.2,184 ,1k,17,1,19,8
Cerence,3.1,125 ,882,18,4,11,36
Tyger Capital,4.0,417 ,1.3k,29,20,23,--
FreshMenu,3.2,151 ,538,8,--,24,1
Accel IT Services,3.5,316 ,1.4k,21,17,5,--
Yuto Printing and Packaging,3.4,121 ,700,19,3,11,1
Johnson Matthey,3.9,493 ,1.9k,42,6,59,1
MTAR Technologies,3.9,281 ,1.2k,22,1,7,4
Topsel Toyota,3.8,153 ,353,8,19,15,--
Think Future Technologies,4.5,290 ,1.1k,55,13,8,16
Alghanim International,4.2,199 ,574,7,2,25,--
FMI Automotive Components,4.1,146 ,566,10,--,14,--
Century Rayon,3.8,132 ,473,7,6,22,--
DAIMLER TRUCKS ASIA,3.8,192 ,1.2k,5,--,5,1
OASYS Tech Solutions,3.8,178 ,530,12,--,5,8
SMCC Construction India,4.2,165 ,558,10,--,19,--
SNS Group,3.5,108 ,374,11,--,26,--
Mcpi,4.3,147 ,593,12,--,12,--
Schreiber Dynamix Dairies,4.0,193 ,647,8,16,20,--
RSM US in India,3.5,340 ,3k,44,524,12,--
Hykon,4.5,150 ,387,27,17,6,--
Synthite Industries,4.1,215 ,773,11,15,14,4
Kaleesuwari Refinery,3.8,276 ,1k,13,7,11,5
FarEye,3.2,224 ,1.6k,30,--,21,--
BCITS,3.7,145 ,679,14,1,7,--
HL Klemove,3.4,119 ,703,8,8,4,--
Aagna Global Solutions,3.4,113 ,265,4,--,10,--
Ramoji Film City,4.1,197 ,621,9,--,24,1
Lohum Cleantech,3.4,170 ,627,21,--,2,--
Auxein Medical,3.4,117 ,517,11,2,11,--
Mindrill Systems Solutions,4.0,112 ,347,27,5,5,--
NCDEX,3.4,140 ,932,7,33,15,--
Chalo,3.5,130 ,554,19,9,4,--
Can-Pack,4.3,293 ,1.1k,21,5,43,--
Online Legal India,4.3,255 ,56,15,--,19,8
Profectus Capital,4.1,258 ,988,17,--,7,1
Ramee Group of Hotels,3.6,170 ,619,8,3,17,1
Levelshift,3.2,289 ,1.5k,32,6,29,4
Merino Industries,3.8,945 ,3.4k,72,17,70,25
AAI Cargo Logistics and Allied Services Company,2.8,133 ,360,11,--,2,--
Dr. Agarwal's Eye Hospital,3.8,502 ,1.7k,37,60,33,--
NCL BUILDTEK,3.6,227 ,871,16,65,15,4
ACUTAAS CHEMICALS LIMITED,3.7,179 ,1k,15,1,9,--
TransPerfect,3.0,194 ,1.2k,29,8,10,--
Guiltfree Industries,3.5,302 ,1k,33,--,13,3
IFGL Refractories,3.7,136 ,535,6,--,5,--
SISA Information Security,2.9,158 ,980,7,8,9,--
Kifs Housing Finance,3.6,187 ,513,9,--,7,--
Mangalam Cement,4.0,239 ,891,17,5,20,--
ZeMoSo Technologies,3.4,215 ,993,163,29,4,--
Ind swift ltd. Gbu,3.5,169 ,723,10,--,2,--
Globsyn Business School,4.4,110 ,229,10,--,2,20
Gautam Solar,4.0,276 ,680,27,--,11,2
NLMK India,3.6,137 ,621,20,--,6,--
Msi Services,4.0,274 ,939,55,50,7,--
Omni Hospital,3.7,121 ,507,2,--,13,--
A2z Infra Engineering,3.8,128 ,84,1,--,--,--
Oxford University Press,3.3,180 ,913,7,17,19,--
Lulu International Shopping Mall,3.7,564 ,2.4k,42,--,20,1
Sical Logistics,4.0,132 ,628,1,--,16,--
Multi Commodity Exchange of India,3.3,149 ,957,6,--,11,--
Vahdam Teas,4.0,111 ,498,6,1,11,--
Quatrro Business Support Services,3.3,762 ,2.6k,60,23,85,--
Rysun Labs,3.3,149 ,778,12,7,16,20
Modi Builders & Realtors,3.0,158 ,447,7,--,10,--
IL&FS Skills Development Corporation,4.1,113 ,203,4,--,18,--
Shalimar Group,4.1,125 ,665,3,5,5,--
ABC Consultants,3.9,405 ,25.9k,239,1,23,--
VIS Networks,3.9,194 ,1.1k,13,9,16,--
Presidio Solutions Pvt Ltd,4.6,120 ,779,29,3,1,--
Welspun Specialty Solutions,3.8,158 ,538,4,--,11,--
Asclepius Wellness,3.7,142 ,490,14,2,3,--
Pierian Services,3.3,513 ,2.6k,38,40,22,--
Kendriya Vidyalaya Sangathan,4.3,958 ,1.5k,64,--,62,3
Vatika Group,4.1,349 ,1.3k,17,1,33,--
Crescendo Global,4.3,147 ,162,16,29,54,77
Weikfield Foods,3.3,224 ,772,10,2,26,1
Q3 Technologies,3.5,220 ,1.6k,29,7,10,--
Ajay Industrial Corporation,3.7,225 ,785,11,3,14,--
Seeds Fincap,3.5,127 ,388,6,1,3,--
General Mills,4.1,943 ,5k,79,11,119,--
Garware Hi-Tech Films,4.0,207 ,1k,7,--,17,--
Green Gene Enviro Protection And Infrastructure,3.6,188 ,526,9,--,1,2
Motion Education,3.4,201 ,885,16,53,2,5
Edunext Technologies,3.4,188 ,564,17,1,12,8
Mahindra Accelo,3.5,160 ,534,6,18,3,--
Altisource,3.5,965 ,3.7k,44,72,137,9
Durr India,3.6,151 ,803,7,7,7,--
Lloyd Insulations,3.5,330 ,1.3k,22,2,28,2
Apothecon Pharmaceuticals,4.4,249 ,1k,21,6,29,8
Archwell Operations,3.5,221 ,1.3k,10,--,8,1
Bombay Dyeing,3.8,205 ,898,9,--,28,--
nurture.farm,3.2,174 ,717,11,--,9,--
Yara Fertilisers,3.8,344 ,1.1k,21,--,32,--
Denso Ten Minda India,4.1,174 ,727,15,--,11,--
Izmo,3.0,201 ,820,17,21,15,--
Bellsonica Auto Component,4.0,354 ,1.2k,24,1,26,--
Brainium Information Technologies,3.8,205 ,502,9,2,20,--
Milan Laboratories India Private Limited,3.8,199 ,943,9,6,16,--
Redington Group,3.9,189 ,1.3k,9,6,3,--
Shilpa Steel and Power,3.4,131 ,482,3,3,11,--
SHARE Microfin,4.2,402 ,548,22,--,40,1
Sms Integrated Facility Services,4.2,159 ,633,6,8,6,--
Nature's Basket,3.9,292 ,976,15,--,29,--
Valueonshore Advisors,3.7,205 ,598,11,20,14,--
Smiiel - A Unit Of Motherson Sumi System,3.6,169 ,429,20,--,18,1
Zaalima Development,4.2,365 ,10,125,--,1,--
Abacus Staffing & Services,3.1,124 ,519,7,1,2,--
IJM (India) Infrastructure,4.0,130 ,413,7,--,20,2
Okinawa Autotech,3.5,167 ,592,9,1,8,--
Mitratech,3.7,114 ,914,13,19,17,2
SGD PHARMA,3.5,108 ,576,7,--,11,--
Shaw Toyota,4.9,208 ,138,28,--,75,2
Balajee Group,3.5,277 ,868,14,6,16,--
Publicis Global Delivery,4.0,130 ,1k,21,--,2,--
Runwal Group,3.9,377 ,1.8k,26,--,39,--
Saregama India,4.0,296 ,898,9,--,24,15
Sulphur Mills,3.8,178 ,821,13,11,21,5
Brahmaputra Cracker and Polymer,4.4,117 ,657,4,--,7,--
LeadSquared,2.7,374 ,3k,67,40,17,--
Mobiloitte Technologies,3.1,349 ,993,34,9,30,24
Tega McNally Minerals,3.0,119 ,585,4,--,12,--
Edwise International,3.8,166 ,438,13,38,5,--
Escalon Business Services,3.8,277 ,1.1k,30,3,38,6
Powerica,3.7,275 ,1.1k,14,3,30,--
Curateq Biologics,3.3,155 ,721,13,14,3,--
Lizmontagens India,4.1,203 ,656,7,--,6,5
Jolly Containers,3.7,133 ,554,7,7,8,--
SBS,2.6,298 ,2.2k,29,12,38,--
WebMD,3.4,124 ,1.4k,28,14,10,6
Green Park Hotels,4.3,193 ,665,3,1,24,1
Indian Institute of Management,3.7,141 ,1k,4,--,5,--
Svarn Infratel,3.5,132 ,598,12,2,5,--
Yashoda Super Speciality Hospitals,3.9,151 ,687,7,--,3,--
Sanzyme,3.8,130 ,501,8,--,12,--
Amphenol Fci,3.8,193 ,877,13,4,19,2
Insurance Company,4.1,126 ,1.7k,7,--,5,--
Larsen & Toubro Group,4.1,406 ,1k,96,--,48,--
W3Softech India,4.1,144 ,775,4,6,8,3
Dietech India,4.0,128 ,722,5,1,10,--
Jasmin Infotech,3.9,191 ,1.5k,15,--,16,--
GVK Group,3.8,179 ,709,12,--,14,1
Mantri Developers,3.4,224 ,927,8,9,37,--
Strabag,4.2,114 ,368,9,--,7,--
Soma Enterprises,4.5,299 ,744,7,--,49,--
Gram Tarang Employability Training Services,3.6,113 ,335,5,3,15,--
Cheers Interactive,3.1,125 ,496,9,--,12,--
Computer Generated Solutions,3.1,148 ,1k,9,--,10,--
Kesari Tours,3.5,158 ,669,10,5,21,--
Digitide,3.2,124 ,543,13,7,--,--
DEN Networks,3.8,351 ,1.4k,14,--,28,--
Elite Powertech,4.0,129 ,348,7,--,13,--
ALOIS Solutions,3.6,116 ,461,9,--,6,16
Bounce,3.2,121 ,810,6,--,12,1
MK TRON Autoparts,3.4,125 ,650,10,--,5,--
ThinkPalm Technologies,3.9,168 ,1.4k,16,6,14,--
Innovapptive,4.1,184 ,677,17,32,12,--
NIELIT,4.1,222 ,664,17,--,15,10
Sri Ranganathar Industries,3.3,173 ,796,10,2,6,--
Oil India,4.3,329 ,872,21,--,30,--
Faasos Food Services,3.8,164 ,390,4,--,19,--
Mantra Technologies,3.6,286 ,792,34,--,18,--
Cxc Infotech,3.2,124 ,605,6,1,13,--
Eastern Software Solutions Pvt. Ltd,3.6,258 ,985,16,--,15,15
Yalamanchili Software Exports,3.1,346 ,1.3k,18,4,27,1
Ask Automotive,4.2,765 ,3k,36,--,46,--
Hudson's Bay Company,3.8,297 ,1.9k,26,16,25,--
FICCI,3.3,132 ,636,14,6,10,--
Liyaans Properties,4.8,157 ,61,5,2,5,1
OodlesTechnologies,3.2,368 ,1.5k,77,20,26,--
Integrated Personnel Services Limited,4.0,209 ,874,17,26,9,19
Travclan Technology India,3.6,112 ,505,59,20,1,--
Paracoat Products,3.6,158 ,804,6,3,10,--
Nipro Medical,4.1,110 ,432,6,--,6,--
Honeywell Building Solutions,3.8,121 ,787,7,--,5,--
Providence Global Center,3.6,192 ,1.7k,20,11,9,--
Glorious Insight,3.6,326 ,247,4,1,5,--
Indian School of Business,3.2,173 ,989,11,10,13,--
Mobikasa,3.9,116 ,468,17,--,10,11
ValueFirst Digital Media,3.7,168 ,1.1k,12,--,21,--
Tex Corp.,3.8,121 ,553,7,9,11,--
Vashi Integrated Solutions Limited,3.7,316 ,1.4k,23,114,25,11
Ginger Hotels,4.0,230 ,719,9,--,21,--
Bioseed,4.1,210 ,419,14,--,--,4
DeHaat,3.6,641 ,1.9k,65,10,21,1
Marsh McLennan Global Services,4.1,155 ,671,17,1,30,--
Statusneo,3.7,344 ,1.4k,64,23,10,88
Haleon,3.6,360 ,1.3k,47,48,1,--
Jaypee Cement,4.0,347 ,879,19,--,48,2
Aero Club-Woodland Store,3.2,143 ,366,4,--,2,--
Lal Baba Seamless Tubes,3.1,174 ,786,10,--,14,--
Kserve Bpo,4.5,219 ,446,9,--,4,--
Punjab & Sind Bank,3.3,161 ,493,2,--,14,--
Protiviti India Member,2.8,342 ,1.6k,36,158,10,--
Viney Corporation,3.8,136 ,559,11,--,5,--
Sintex BAPL,3.6,639 ,2.3k,37,--,66,--
RNFI Services,3.2,343 ,974,19,--,8,--
Fexprime Finance,4.5,300 ,725,6,--,27,--
Syncfusion,3.5,352 ,2k,54,9,41,--
State Bank Operations Support Services,3.4,239 ,334,19,1,4,6
Palo Alto Networks,3.8,128 ,1.4k,25,--,5,--
Mouser Electronics,3.5,250 ,1.7k,28,8,23,50
Tanla Platforms,3.0,139 ,1.3k,13,66,6,--
Van Heusen,4.0,302 ,693,15,--,30,3
Talbros,3.8,419 ,1.7k,33,1,32,--
Skillinabox,4.2,137 ,45,41,4,1,--
MAN Truck & Bus,2.7,262 ,942,15,7,23,--
Doubtnut,3.4,294 ,1.2k,39,--,28,3
RNS Motors,3.4,112 ,428,6,--,6,1
Arrow Electronics,4.2,281 ,1.4k,81,7,5,10
Omkar Realtors & Developers,3.7,276 ,911,7,--,33,--
SPJ group,4.0,183 ,197,13,5,10,--
Azim Premji Foundation,3.7,227 ,720,34,50,20,--
Capillary Technologies,3.4,235 ,1.9k,20,52,27,5
Paradigm Realty,3.6,107 ,467,12,4,5,147
TP Northern Odisha Distribution,3.6,194 ,682,22,--,7,--
DE Shaw,3.6,194 ,2.7k,129,8,11,--
Busibud,3.7,301 ,127,43,--,7,--
Central Public Works Department,4.1,473 ,1.2k,15,--,49,1
Jitm Skills,3.3,227 ,631,17,--,15,4
Cavisson Systems,2.3,303 ,1.8k,23,5,33,--
Bansal Group,3.5,126 ,728,9,--,5,--
ETV Network,3.9,147 ,424,6,--,25,--
AlgoLeap Technologies,4.4,125 ,392,27,146,4,2
Grassroots BPO,3.4,246 ,782,10,8,52,--
Mitsui O.S.K. Lines,4.1,214 ,767,5,--,18,--
Marlabs,3.5,643 ,5.1k,40,--,47,--
Medica Superspecialty Hospital,3.8,417 ,1.5k,20,127,48,--
Shivalik Prints,4.1,136 ,579,6,--,4,1
Pacific Development Corporation Limited (Pacific Group),3.4,198 ,1k,18,8,20,5
Mitsubishi Power India,4.4,185 ,811,15,--,15,--
NCL Veka,4.1,120 ,460,7,10,10,--
CollegePur,4.6,159 ,7,60,--,8,--
OM Careers,2.4,168 ,331,12,--,22,--
AVASO Technology Solutions,3.5,112 ,691,12,3,7,--
Canam Consultants,3.2,244 ,819,12,3,10,--
Parsons International,4.0,159 ,216,7,--,19,--
GIC Housing Finance,3.7,130 ,629,12,4,7,1
The Sparks Foundation,4.2,240 ,325,23,--,12,--
Wonder Cement,4.2,950 ,3.5k,60,26,58,6
Hill International,4.2,244 ,713,11,31,26,--
Liquiloans,2.9,171 ,808,21,12,2,2
Acme Services,4.3,116 ,271,33,--,1,10
Astec LifeSciences,3.7,193 ,722,17,--,12,--
Nkgsb CO-OP Bank,4.2,113 ,450,2,1,9,--
Archean Chemical Industries,3.9,175 ,774,12,1,14,--
Vastu Housing Finance,4.2,765 ,2.2k,56,9,145,10
M Tech Innovations,3.2,136 ,610,11,6,10,--
Markem Imaje,3.7,109 ,502,9,34,8,--
Oben Electric Vehicle,4.3,155 ,382,18,18,1,--
Everest Industries,3.8,963 ,3.2k,60,11,87,4
PeopleStrong Technologies,3.4,121 ,729,8,1,10,21
MELCO,3.7,157 ,539,3,--,5,--
Impelsys,3.2,285 ,2.4k,30,4,24,--
Ammann Apollo,4.1,226 ,952,14,3,14,--
MoreTasks,4.4,154 ,248,27,--,24,416
Bharat Broadband Network,3.8,199 ,784,10,--,6,1
Acer India,4.0,169 ,774,10,--,18,--
Naprod Life Sciences,3.5,228 ,1k,17,1,17,1
PureSoftware,3.0,564 ,3.7k,66,46,36,87
Shubham EPC,4.2,136 ,309,13,1,7,--
Sigma Corporation India,4.0,121 ,700,7,--,12,--
Toshiba Transmission & Distribution Systems,4.0,355 ,1.7k,23,3,40,5
Spack Automotives,3.3,111 ,475,14,--,7,--
GreenCell Mobility,3.5,155 ,515,11,7,3,--
GMM Pfaudler,3.9,238 ,1.3k,13,--,16,3
PC Financial Services,4.0,181 ,510,11,1,34,--
Neo Metaliks,3.5,129 ,523,7,5,7,--
Quadlabs Technologies,3.2,115 ,410,6,6,2,--
Medanta S.N. Superspecialty Hospital,4.1,123 ,471,12,4,4,--
A2Z Infraservices,4.0,180 ,458,9,3,18,1
Jindal Power Limited,4.3,483 ,1.6k,47,25,23,5
Impresario Entertainment & Hospitality,4.1,178 ,625,5,2,23,--
MathWorks,3.8,152 ,1.1k,45,26,15,6
Aarti Steels,3.7,308 ,1.3k,36,3,27,5
Focus Softnet,3.6,162 ,968,10,6,11,1
GlobalStep,2.3,294 ,1.7k,31,13,23,2
K.R.Mangalam World School,4.2,150 ,456,17,5,4,2
Sun Technologies,3.4,169 ,1.4k,20,24,14,--
EAPRO Global Ltd,4.2,159 ,399,13,--,7,1
Allengers Medical Systems,3.5,258 ,1.1k,16,34,23,6
Ventra Health,3.1,202 ,906,14,16,--,8
Ruby Hall Clinic,4.0,292 ,966,16,--,28,--
Mytrah Energy,4.2,135 ,472,1,1,18,--
Sustainable Agro-commercial Finance,4.1,109 ,356,6,55,8,--
Zen Technologies,3.5,175 ,820,24,3,10,4
Columbia Petro Chem,4.0,303 ,535,18,2,67,--
Deepija Telecom,3.9,153 ,738,15,6,31,--
Rochem Separation Systems,3.6,272 ,1.2k,18,11,22,--
Control Print,4.2,353 ,1.2k,84,20,32,1
Cherise India,3.8,136 ,297,2,3,2,--
JMD Group,4.0,115 ,561,4,--,4,--
Sicagen,3.8,118 ,427,6,3,9,--
Acsia Technologies,3.0,115 ,793,13,11,9,--
AML RightSource,2.7,547 ,3k,58,42,8,3
Plada Infotech Services,3.6,242 ,736,11,4,13,--
Oswal Industries,3.6,111 ,450,4,--,8,--
Credit Saison India,3.7,248 ,1.3k,13,27,1,--
Fidelity International,3.6,753 ,5.6k,57,136,82,--
Yashashvi Rasayan,4.1,172 ,703,5,--,25,2
Bajaj Auto Credit,4.0,367 ,806,12,--,--,--
Maharashtra State Electricity Distribution Company,4.2,570 ,1.2k,24,--,42,3
OptiSol Business Solutions,3.8,140 ,959,18,35,18,33
Dentsu Communications,3.3,156 ,1.5k,11,17,1,--
Kriya NextWealth,3.7,166 ,668,16,--,3,1
Shyam Sel & Power,3.7,400 ,1.4k,57,--,24,--
KisanKraft Machine Tools,3.4,202 ,719,12,4,12,--
Flowserve Sanmar,3.4,107 ,489,8,--,7,--
Mercurius Advisory Services,4.2,206 ,523,30,23,51,16
Continental,3.6,627 ,3.5k,58,48,48,--
MRC Logistics,4.0,154 ,601,5,--,8,--
Aculife Healthcare,3.0,412 ,1.5k,33,2,31,--
Azad Engineering,3.8,247 ,1.1k,15,--,13,1
Ilensys Technologies,4.1,179 ,1.1k,27,52,8,--
Narayana e-Techno School,3.7,628 ,1.9k,52,--,23,--
Google Pay,3.6,228 ,1.3k,40,--,19,--
Vedic International School,4.5,151 ,263,7,--,5,2
Arrise Bpo Solutions,3.4,228 ,672,8,10,3,--
Tata Memorial Hospital,4.1,178 ,618,10,--,18,2
National Aerospace Laboratories,4.3,175 ,787,14,--,27,--
WizKlub,2.8,251 ,793,32,--,6,1
Ufi Filters,3.9,119 ,632,10,--,9,--
Maharishi Markandeshwar University,3.6,186 ,542,13,--,9,7
Accel Frontline,4.3,400 ,752,7,--,44,--
Hindustan Media Ventures,3.7,180 ,585,6,--,11,1
Navi Finserv,3.4,120 ,456,14,--,4,1
Dainik Jagran,3.4,304 ,1.2k,13,--,26,--
APL Logistics,3.8,133 ,575,9,6,7,2
Vector India,4.2,119 ,454,6,--,5,--
C-quel Management Services,4.3,181 ,207,13,--,79,--
RGBSI,3.3,238 ,1.4k,30,--,15,--
Bausch & Lomb,3.7,145 ,580,3,--,13,--
Podar Jumbo Kids,3.9,166 ,415,7,--,14,--
Sportz Interactive,3.1,147 ,1k,13,39,9,10
Cognus Technology,2.0,148 ,486,9,--,9,--
Trimax IT Infrastructure Services,3.6,486 ,1.1k,13,--,36,--
Mawai Infotech,3.2,117 ,589,10,8,11,--
PEGATRON,3.9,512 ,2.1k,29,--,1,--
Gj Solutions,3.5,126 ,384,7,--,14,--
Sigma-Byte Computers,4.1,108 ,472,8,12,11,--
BBD University,3.5,108 ,292,11,16,2,--
Information Evolution,3.5,120 ,685,9,--,2,--
Exicom,4.0,729 ,3k,57,13,68,1
Coupa Software Inc,3.2,126 ,1.2k,33,--,7,13
Sarovar Hotels & Resorts,4.1,498 ,1.3k,20,--,62,3
Adfactors PR,3.4,243 ,1.7k,18,20,15,--
Gold's Gym,4.0,224 ,648,15,--,20,--
MPS Limited,3.5,653 ,2.9k,37,14,41,28
Electronica,4.6,122 ,223,11,--,--,--
Ultra Corpotech,4.0,338 ,1.7k,22,6,6,11
Saasguru,2.0,127 ,46,2,12,3,--
Star Wire India,4.0,272 ,1.2k,18,5,15,--
Digamber Finance,4.2,172 ,423,10,11,8,3
GlobeGround India,3.7,127 ,404,8,1,11,--
Bonace Engineers,4.0,405 ,1.2k,35,--,27,--
MediBuddy,3.3,477 ,2.3k,41,40,16,129
ARCADIS,4.1,292 ,1.7k,36,150,40,7
Allen Solly,4.0,231 ,520,16,--,20,2
Ami Polymer,3.7,195 ,689,15,25,12,2
TableSpace Technologies,3.2,111 ,510,21,--,3,7
Sparsh Hospital,3.7,250 ,1.1k,4,63,16,--
RSWM Limited,4.1,416 ,1.2k,19,4,46,--
NRB Bearings,4.1,625 ,2k,50,2,62,1
Advanz Pharma,4.0,113 ,461,9,6,7,--
Lycatel BPO,2.6,138 ,650,1,--,21,--
OutworX,3.5,506 ,2.2k,35,4,11,15
Vtc Tradewings,4.0,136 ,350,7,1,7,--
Schlumberger,3.8,889 ,5.3k,155,62,112,14
Heads Up For Tails,3.7,199 ,878,16,19,12,--
Xotik Frujus,2.6,163 ,443,8,--,8,--
Rishabh Software,3.7,237 ,1.7k,14,43,24,--
Shriram Group,3.9,272 ,1.4k,11,--,20,--
Netscribes,2.7,900 ,3k,94,39,72,10
WorkIndia,3.0,233 ,1.3k,34,--,13,--
SCIO Management Solutions,4.3,194 ,666,18,--,14,1
Harley-Davidson,3.8,135 ,479,6,2,24,--
ACN Health care,3.3,249 ,958,14,3,11,7
Coverfox,3.7,168 ,648,7,15,16,8
OSI Digital,3.6,206 ,2.1k,16,33,9,--
Rebel Foods,3.7,970 ,3.4k,73,28,63,3
Outlook,2.9,160 ,137,35,--,7,--
Ambuja Neotia,3.9,363 ,1.2k,16,1,25,1
Decision Minds,3.6,121 ,576,9,--,5,--
Savita Oil Technologies,4.2,210 ,947,11,4,10,--
Ceipal,3.1,142 ,951,6,--,8,3
New Swan Multitech,4.0,132 ,501,12,1,9,--
Honour Lab,3.9,436 ,1.7k,25,--,22,--
NJ Group,3.5,122 ,458,16,--,3,1
Kopran,3.7,203 ,1.2k,12,7,15,--
La-Gajjar Machineries,4.3,223 ,684,8,--,25,--
Samarth LifeSciences,3.6,281 ,898,21,3,19,2
Anuhar Homes,3.4,121 ,393,5,7,6,--
Tokai Rika Minda,3.5,124 ,487,8,--,10,2
Religare,3.6,727 ,2.5k,33,23,29,1
Bank of Maharashtra,3.2,397 ,1.5k,18,--,32,--
Gokul Agro Resources,3.8,184 ,848,16,9,5,--
Sterling Manufacturing Company,3.7,130 ,76,7,--,4,--
L. V. Prasad Eye Institute,4.2,244 ,630,13,2,22,4
TalentOla,3.8,116 ,228,38,--,1,--
